OBJECTID;BaselineID;Group;TransOrder;ProcTime;Autogen;StartX;StartY;EndX;EndY;Azimuth;SHAPE_Leng;SETOR
570;1;0;570;13/07/2020 16:08;1;297295,08;9135558,16;297253,06;9135414,17;196,27;-9,480725625;5
571;1;0;571;13/07/2020 16:08;1;297292,2;9135558,98;297247,61;9135415,76;197,29;-8,787678929;5
572;1;0;572;13/07/2020 16:08;1;297289,3;9135559,73;297240,41;9135417,93;199,02;-7,97120695;5
573;1;0;573;13/07/2020 16:08;1;297286,54;9135560,9;297239,38;9135418,5;198,32;-7,325916001;5
574;1;0;574;13/07/2020 16:08;1;297283,66;9135561,73;297244,53;9135416,92;195,12;-5,594696605;5
575;1;0;575;13/07/2020 16:08;1;297282,47;9135562,12;297215,96;9135427,67;206,32;-5,257968862;5
576;1;0;576;13/07/2020 16:08;1;297279,83;9135563,45;297207,24;9135432,18;208,94;-6,793536575;5
577;1;0;577;13/07/2020 16:08;1;297277,08;9135564,62;297234,31;9135420,84;196,57;-7,491348761;5
579;1;0;579;13/07/2020 16:08;1;297271,41;9135566,5;297240,89;9135419,64;191,74;-9,520495714;5
580;1;0;580;13/07/2020 16:08;1;297268,43;9135566,87;297240,27;9135419,54;190,82;-9,038269577;5
581;1;0;581;13/07/2020 16:08;1;297266,48;9135567,59;297228,92;9135422,37;194,5;-9,661278388;5
582;1;0;582;13/07/2020 16:08;1;297263,58;9135568,26;297225,21;9135423,25;194,82;-10,23350612;5
583;1;0;583;13/07/2020 16:08;1;297260,67;9135568,93;297224,15;9135423,45;194,09;-10,64360233;5
584;1;0;584;13/07/2020 16:08;1;297257,76;9135569,68;297219,77;9135424,58;194,67;-9,601831014;5
585;1;0;585;13/07/2020 16:08;1;297254,83;9135570,3;297223,77;9135423,55;191,95;-9,144819598;5
587;1;0;587;13/07/2020 16:08;1;297248,94;9135571,32;297217,79;9135424,59;191,98;-8,974189933;5
588;1;0;588;13/07/2020 16:08;1;297245,99;9135571,86;297220,58;9135424,02;189,75;-9,088815543;5
589;1;0;589;13/07/2020 16:08;1;297243,04;9135572,38;297216,92;9135424,67;190,03;-8,633664787;5
590;1;0;590;13/07/2020 16:08;1;297240,1;9135572,97;297206,84;9135426,71;192,81;-8,452999963;5
591;1;0;591;13/07/2020 16:08;1;297237,18;9135573,67;297202,3;9135427,78;193,45;-7,320146669;5
592;1;0;592;13/07/2020 16:08;1;297234,24;9135574,27;297205,49;9135427,05;191,05;-6,076617942;5
